url,img,title,address,room,square,floor,type,price
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/honin.html,https://i.ss.com/gallery/6/1139/284532/56906295.th2.jpg,"Продают , Jūrmala, Dzintari. Продаётся большая, светлая квар",DzintariMeža pr. 1,3,166,5/10,Jaun.,465000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/dpppj.html,https://i.ss.com/gallery/6/1080/269795/53958849.th2.jpg,Pārdodu saulainu dzīvokli labā vietā ar skatu uz upi. Divas,DubultiSlokas 29,2,53,3/5,103,73000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/cbnnmm.html,https://i.ss.com/gallery/6/1162/290334/58066724.th2.jpg,Собственник продает уютную однокомнатную квартиру у моря в с,DubultiSlokas 29,1,35,3/4,103,55900
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/llehc.html,https://i.ss.com/gallery/6/1025/256008/51201415.th2.jpg,Pārdošanā tiek piedāvāts jauns piecu istabu dzīvoklis pirmaj,JaundubultiAmatas 1,5,170,2/4,Jaun.,370000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/afxff.html,https://i.ss.com/gallery/5/845/211114/42222685.th2.jpg,Pārdod divistabu dzīvokli klusā un zaļā rajonā. Tikai 5 minū,LielupeMeža pr. 62,2,50,3/4,Specpr.,75000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/aammg.html,https://i.ss.com/gallery/6/1145/286130/57225820.th2.jpg,"Продается уютная, светлая, трех комнатная квартира в Дзинтар",DzintariTuraidas 71,3,73,1/4,Jaun.,148000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/afpxi.html,https://i.ss.com/gallery/6/1101/275233/55046536.th2.jpg,"Trīs guļamistabas, galvenā guļamistaba ar savu vannas istabu",BulduriMeža pr. 12 k1 1,4,126,1/2,Specpr.,341000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/melluzi/adgcx.html,https://i.ss.com/gallery/6/1132/282851/56570116.th2.jpg,Pārdodu divistabu dzīvokli jaunbūve blakus jūrai. Cenā ir ie,MellužiKanalu 9,2,72,2/3,Jaun.,160000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/gxxon.html,https://i.ss.com/gallery/6/1045/261042/52208345.th2.jpg,Предлагаем приобрести квартиру с видом на сосновый парк в Ли,LielupeMežotnes 2,3,119,2/3,Jaun.,340000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/majori/ieknh.html,https://i.ss.com/gallery/6/1174/293454/58690721.th2.jpg,"Steidzami pārdodu dzīvokli Majoros, Lielupes krastā. Blaku",MajoriRīgas 4,2,28,2/2,P. kara,22500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/mnobm.html,https://i.ss.com/gallery/6/1052/262934/52586697.th2.jpg,"Продаю квартиру на первой линии от моря. По планировке: пр",BulduriБулдуру проспект 52,3,87,3/3,Jaun.,312120
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mkfmb.html,https://i.ss.com/gallery/5/965/241233/48246574.th2.jpg,Новый проект – сдан в эксплуатацию в 2022 году. Квартира в п,DzintariRīgas 47,3,80,3/3,Jaun.,263900
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cjgfc.html,https://i.ss.com/gallery/6/1174/293418/58683518.th2.jpg,"Pārdod 4-istabu dzīvokli, Visas istabas izolētas. Zeme īpašu",KauguriRaiņa 79,4,77,3/9,467,67000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/gxmin.html,https://i.ss.com/gallery/6/1134/283393/56678565.th2.jpg,Dzīvoklis sastāv no divām guļamistabām un lielas viesistabas,DzintariTuraidas 110,3,93,2/4,Jaun.,158000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/iggii.html,https://i.ss.com/gallery/6/1124/280765/56152813.th2.jpg,"Продаю красивую, светлую, 3 комнатную квартиру в самом центр",DzintariDzintaru pr. 50,3,107,2/3,Jaun.,520001
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/cbjep.html,https://i.ss.com/gallery/6/1145/286020/57203955.th2.jpg,"Tiek piedāvāts eksluzīvs dzīvoklis ar terasi, no kuras paver",LielupeTīklu 11,3,133,2/5,Jaun.,475000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/fndip.html,https://i.ss.com/gallery/6/1076/268758/53751545.th2.jpg,"Jūrmala, Dubultu prospektā pārdod 4 istabu dzīvokli ar kopēj",DubultiDubultu pr. 48a,4,188,1/2,Jaun.,285000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/dildc.html,https://i.ss.com/gallery/6/1174/293366/58673130.th2.jpg,"Iespējama nomaksa. Iekļautas mēbeles, tehnika un iekārtojums",BulduriRēzeknes pulka 26,3,71,3/4,Specpr.,120000
